Column1;song;track_n;album;year;lyric;decade
1;You're No Good;1;Bob Dylan;1962;well  i do not know why i love you like i do nobody in the world can get along with you you got the ways of a devil sleeping in a lion den i come home last night you would not even let me in oh sometimes you are as sweet as anybody want to be oh when you get the crazy notion of jumping all over me well  you give me the blues  i guess you are satisfied when you give me the blues i want to lay down and die i helped you when you had no shoes on your feet  pretty mama i helped you when you had no food to eat now you are the kind of woman that just do not understand you are taking all my money and give it to another man well  you are that kind of woman makes a man lose his brains you are that kind of woman drives a man insane well  you give me the blues  i guess you are satisfied you give me the blues  i want to lay down and die;1960s
2;Talkin' New York;2;Bob Dylan;1962;rambling out of the wild west leaving the towns i love the best thought i would seen some ups and downs til i come into new york town people going down to the ground buildings going up to the sky wintertime in new york town the wind blowing snow around walk around with nowhere to go somebody could freeze right to the bone i froze right to the bone new york times said it was the coldest winter in seventeen years i did not feel so cold then i swung on to my old guitar grabbed hold of a subway car and after a rocking  reeling  rolling ride i landed up on the downtown side greenwich village i walked down there and ended up in one of them coffee houses on the block got on the stage to sing and play man there said     come back some other day you sound like a hillbilly we want folk singers here    well  i got a harmonica job  begun to play blowing my lungs out for a dollar a day i blowed inside out and upside down the man there said he loved my sound he was raving about how he loved my sound dollar a day worth and after weeks and weeks of hanging around i finally got a job in new york town in a bigger place  bigger money too even joined the union and paid my dues now  a very great man once said that some people rob you with a fountain pen it did not take too long to find out just what he was talkin  about a lot of people do not have much food on their table but they got a lot of forks  n  knives and they got to cut something so one morning when the sun was warm i rambled out of new york town pulled my cap down over my eyes and headed out for the western skies so long  new york howdy  east orange;1960s
3;In My Time of Dyin';3;Bob Dylan;1962;well  in my time of dying do not want nobody to mourn all i want for you to do is take my body home well  well  well  so i can die easy well  well  well well  well  well  so i can die easy jesus going to make up  jesus going to make up jesus going to make up my dying bed well  meet me jesus  meet me  meet me in the middle of the air if these wings should fail me lord  will not you meet me with another pair well  well  well  so i can die easy well  well  well well  well  well  so i can die easy jesus going to make up  jesus going to make up jesus going to make up my dying bed lord  in my time of dying do not want nobody to cry all i want you to do is take me when i die well  well  well  so i can die easy well  well  well well  well  well  so i can die easy jesus going to make up  jesus going to make up jesus going to make up my dying bed;1960s
4;Man of Constant Sorrow;4;Bob Dylan;1962;i am a man of constant sorrow i have seen trouble all my days i will say goodbye to colorado where i was born and partly raised your mother says that i am a stranger a face you will never see no more but there one promise darling i will see you on god golden shore through this open world i am a bound to ramble through ice and snow  sleet and rain i am a bound to ride that morning railroad perhaps i will die on that train i am a going back to colorado the place that i have started from if i would know ed how bad you would treat me honey  i never would have come;1960s
5;Fixin’ to Die;5;Bob Dylan;1962;feeling funny in my mind  lord i believe i am fixing to die  fixing to die feeling funny in my mind  lord i believe i am fixing to die well  i do not mind dying but i hate to leave my children crying well  i look over yonder to that burying ground look over yonder to that burying ground sure seems lonesome  lord  when the sun goes down feeling funny in my eyes  lord i believe i am fixing to die  fixing to die feeling funny in my eyes  lord i believe i am fixing to die well  i do not mind dying but i hate to leave my children crying there a black smoke rising  lord it rising up above my head  up above my head it rising up above my head  up above my head and tell jesus make up my dying bed i am walking kind of funny  lord i believe i am fixing to die  fixing to die yes i am walking kind of funny  lord i believe i am fixing to die fixing to die  fixing to die well  i do not mind dying but i hate to leave my children crying;1960s
6;Pretty Peggy-O;6;Bob Dylan;1962;i have been around this whole country but i never yet found fenneario well  as we marched down  as we marched down well  as we marched down to fennerio well  our captain fell in love with a lady like a dove her name that she had was pretty peggy o well  what will your mother say  what will your mother say what will your mother say  pretty peggy o what will your mother say to know you are going away you are never  never  never coming back io   come a running down your stairs come a running down your stairs come a running down your stairs  pretty peggy o come a running down your stairs combing back your yellow hair you are the prettiest darned girl i ever seen io the lieutenant he has gone the lieutenant he has gone the lieutenant he has gone  pretty peggy o the lieutenant he has gone  long gone he a riding down in texas with the rodeo well  our captain he is dead  our captain he is dead our captain he is dead  pretty peggy o well  our captain he is dead  died for a maid he buried somewhere in louisiana o;1960s
7;Highway 51;7;Bob Dylan;1962;highway 51 runs right by my baby door highway 51 runs right by my baby door if i do not get the girl i am loving wo not go down to highway 51 no more well  i know that highway like i know my hand yes  i know that highway like i know the back of my hand running from up wisconsin way down to no man land well  if i should die before my time should come and if i should die before my time should come wo not you bury my body out on the highway 51;1960s
8;Gospel Plow;8;Bob Dylan;1962;mary wore three links of chain every link was jesus name keep your hand on that plow  hold on oh lord  oh lord  keep your hand on that plow  hold on mary  mark  luke and john all these prophets so good and gone keep your hand on that plow  hold on oh lord  oh lord  keep your hand on that plow  hold on well  i never been to heaven but i have been told streets up there are lined with gold keep your hand on that plow  hold on oh lord  oh lord  keep your hand on that plow  hold on oh lord  oh lord  keep your hand on that plow  hold on oh lord  oh lord  keep your hand on that plow  hold on;1960s
9;Baby, Let Me Follow You Down;9;Bob Dylan;1962;i first heard this from ric von schmidt he lives in cambridge ric a blues guitar player i met him one day in the green pastures of harvard university baby  let me follow you down baby  let me follow you down well  i will do anything in this god almighty world if you just let me follow you down can i come home with you  baby  can i come home with you  yes  i will do anything in this god almighty world if you just let me come home with you baby  let me follow you down baby  let me follow you down well  i will do anything in this god almighty world if you just let me follow you down yes  i would do anything in this god almighty world if you just let me follow you down i will buy you a diamond ring yes  i will buy you a wedding gown yes  i will do anything in this god almighty world if you just let me follow you down i will buy you rope and twine honey  just for you to climb yes  i will do anything in this god almighty world if you just once drive me out of my mind buy you a hoop and skirt i will buy you a velvet shirt yes  i will do anything in this god almighty world if you just do not make me hurt;1960s
10;House of the Risin' Sun;10;Bob Dylan;1962;there is a house down in new orleans they call the rising sun and it been the ruin of many poor girl and me  oh god  i am one my mother was a tailor  she sewed these new blue jeans my sweetheart was a gambler  lord  down in new orleans now the only thing a gambler needs is a suitcase and a trunk and the only time when he satisfied is when he on a drunk he fills his glasses up to the brim and he will pass the cards around and the only pleasure he gets out of life is rambling from town to town oh tell my baby sister not to do what i have done but shun that house in new orleans they call the rising sun well with one foot on the platform and the other foot on the train i am going back to new orleans to wear that ball and chain i am going back to new orleans  my race is almost run i am going back to end my life down in the rising sun;1960s
